,year,title,authors
35389,2014,A survey on feature selection methods,Chandrashekar Girish
35390,2015,"Linear dimensionality reduction: Survey, insights, and generalizations",Cunningham John P.
35391,2018,Comparative study and analysis of dimensionality reduction techniques for hyperspectral data,Gite Hanumant R.
35392,2018,Comparative study of dimensionality reduction methods for remote sensing images interpretation,Sellami Akrem
35393,2018,Comparative analysis of linear and nonlinear dimension reduction techniques on mass cytometry data,Konstorum Anna
35394,2020,Overview and comparative study of dimensionality reduction techniques for high dimensional data,Ayesha Shaeela
35395,2020,A comparative dimensionality reduction study in telecom customer segmentation using deep learning and pca,Alkhayrat Maha
35396,2019,Data-driven uncertainty quantification for high-dimensional engineering problems,Lataniotis Christos
35397,2020,Uqpy: A general purpose python package and development environment for uncertainty quantification,Olivier Audrey
35399,2002,A survey of dimension reduction techniques,Fodor Imola K.
35400,2000,A multilinear singular value decomposition,Lathauwer Lieven
35401,1029,Convergence study of the truncated karhunen–loeve expansion for simulation of stochastic processes,Huang S.P.
35402,2001,Random projection in dimensionality reduction: applications to image and text data,Bingham Ella
35403,2005,Face recognition experiments with random projection,Goel Navin
35404,2017,Random-projection ensemble classification,Cannings Timothy I.
35405,2017,Dppro: Differentially private highdimensional data release via random projection,Xu Chugui
35406,1999,An elementary proof of the johnson-lindenstrauss lemma,Dasgupta Sanjoy
35407,2001,Database-friendly random projections,Achlioptas Dimitris
35408,2021,Tensor random projection for low memory dimension reduction,Sun Yiming
35409,2006,Spectral methods for dimensionality reduction,Saul Lawrence K.
35410,1997,Kernel principal component analysis,Schölkopf Bernhard
35411,2007,Kernel pca for novelty detection,Hoffmann Heiko
35412,1998,Kernel pca and de-noising in feature spaces,Mika Sebastian
35413,2006,Pattern recognition and machine learning,Bishop Christopher M.
35414,2022,Grassmannian diffusion maps–based dimension reduction and classification for high-dimensional data,Santos Ketson R.
35415,2000,A global geometric framework for nonlinear dimensionality reduction,Tenenbaum Joshua B.
35416,2008,Multidimensional scaling,Cox Michael A.A.
35417,1962,Algorithm 97: shortest path,Floyd Robert W.
35418,1959,A note on two problems in connexion with graphs,Dijkstra Edsger W.
35419,2006,Diffusion maps,Coifman Ronald R.
35420,2006,"Diffusion maps and coarse-graining: A unified framework for dimensionality reduction, graph partitioning, and data set parameterization",Lafon Stephane
35421,2012,Vector diffusion maps and the connection laplacian,Singer Amit
35422,2021,Grassmannian diffusion maps based surrogate modeling via geometric harmonics,Santos Ketson R.M.
35423,2000,Nonlinear dimensionality reduction by locally linear embedding,Roweis Sam T.
35424,2002,Grouping and dimensionality reduction by locally linear embedding,Polito Marzia
35425,2003,Hessian eigenmaps: Locally linear embedding techniques for high-dimensional data,Donoho David L.
35426,2004,Principal manifolds and nonlinear dimensionality reduction via tangent space alignment,Zhang Zhenyue
35427,2003,Laplacian eigenmaps for dimensionality reduction and data representation,Belkin Mikhail
35428,2013,Blind source separation: A review and analysis,Pal Madhab
35429,2018,"Past review, current progress, and challenges ahead on the cocktail party problem",Qian Yan-min
35430,2000,Independent component analysis: algorithms and applications,Hyvärinen Aapo
35431,1997,A fast fixed-point algorithm for independent component analysis,Hyvärinen Aapo
35432,2000,A fast fixed-point algorithm for independent component analysis of complex valued signals,Bingham Ella
35433,1999,Fast and robust fixed-point algorithms for independent component analysis,Hyvarinen Aapo
35434,1994,Positive matrix factorization: A non-negative factor model with optimal utilization of error estimates of data values,Paatero Pentti
35435,2012,Nonnegative matrix factorization: A comprehensive review,Wang Yu-Xiong
35436,1999,Learning the parts of objects by non-negative matrix factorization,Lee Daniel D.
35437,2011,Algorithms for nonnegative matrix factorization with the β-divergence,Févotte Cédric
35438,2004,Sparse coding and nmf,Eggert Julian
35439,2008,Visualizing data using t-sne,Maaten Laurens
35440,2014,Accelerating t-sne using tree-based algorithms,Maaten Laurens
35441,1995,Universal approximation to nonlinear operators by neural networks with arbitrary activation functions and its application to dynamical systems,Chen Tianping
35442,2005,Functional multi-layer perceptron: a non-linear tool for functional data analysis,Rossi Fabrice
35443,2020,Autoencoders,Bank Dor
35445,2012,"Autoencoders, unsupervised learning, and deep architectures",Baldi Pierre
35446,2013,Auto-encoding variational bayes,Kingma Diederik P.
35447,2019,An introduction to variational autoencoders,Kingma Diederik P.
35448,2017,Wasserstein auto-encoders,Tolstikhin Ilya
35449,2018,On the latent space of wasserstein auto-encoders,Rubenstein Paul K.
35450,2000,The earth mover’s distance as a metric for image retrieval,Rubner Yossi
35451,2014,A survey of dimensionality reduction techniques,Sorzano Carlos Oscar Sánchez
35452,2004,Physical systems with random uncertainties: chaos representations with arbitrary probability measure,Soize Christian
35453,2006,Beyond wiener–askey expansions: handling arbitrary pdfs,Wan Xiaoliang
35454,2019,Data-driven polynomial chaos expansion for machine learning regression,Torre Emiliano
35455,1952,Remarks on a multivariate transformation,Rosenblatt Murray
35456,2011,Algorithms for hyper-parameter optimization,Bergstra James
35458,2012,Resampling methods for meta-model validation with recommendations for evolutionary computation,Bischl Bernd
35459,1998,Simulation of Stationary Non-Gaussian Translation Processes,Grigoriu Mircea
35460,2015,Dynamics and control of brusselator chemical reaction,Vaidyanathan Sundarapandian
35461,1996,Simulation of multi-dimensional gaussian stochastic fields by spectral representation,Shinozuka Masanobu
35462,2008,The Elements of Statistical Learning,Hastie T.
35463,2001,Pattern Classification,Duda R.
35464,1993,An Introduction to the Bootstrap,Efron B.
35465,2007,Introduction to genomic and proteomic data analysis,Berrar D.
35466,2013,Overfitting,Berrar D.
35467,2003,Supervised analysis when the number of candidate features (p) greatly exceeds the number of cases (n,Simon R.
35469,2005,Prediction error estimation: a comparison of resampling methods,Molinaro A.
35470,2003,Inference for the generalization error,Nadeau C.
35471,2004,Evaluating the replicability of significance tests for comparing learning algorithms,Bouckaert R.
35472,2017,Confidence curves: an alternative to null hypothesis significance testing for the comparison of classifiers,Berrar D.
35473,1981,The jackknife estimate of variance,Efron B.
35474,2002,Selection bias in gene extraction on the basis of microarray geneexpression data,Ambroise C.
35475,2007,Resampling strategies for model assessment and selection,Simon R.
35476,2008,Cross-validation and bootstrapping are unreliable in small sample classification,Isaksson A.
35477,1982,"manuscript received after this article was sub-25, 440",Young A.P.
35478,2015,Xiaodi Huang: Robust Subspace Clustering for Multi-View Data by Exploiting Correlation Consensus,Wang Yang
35479,2014,Lin Wu: Shifting Hypergraphs by Probabilistic Voting,Wang Yang
35480,2017,Wenjie Zhang: Effective Multi-Query Expansions: Collaborative Deep Networks for Robust Landmark Retrieval,Wang Yang
35481,2016,Model-Based Oversampling for Imbalanced Sequence Classification,Gong Z.
35482,2016,Cost-Sensitive Large margin Distribution Machine for classification of imbalanced data,Cheng F.
35483,2013,A PSO-Based Cost-Sensitive Neural Network for Imbalanced Data Classification,Cao P.
35484,2013,Discrimination aware classification for imbalanced datasets,Ristanoski G.
35485,2014,A Parsimonious Mixture of Gaussian Trees Model for Oversampling in Imbalanced and Multimodal Time-Series Classification,Cao H.
35486,1999,Controlling the sensivity of support vector machines,C. C.
35487,2004,Extreme Re-balancing for SVMs: A Case Study,Raskutti B.
35488,2002,One Class SVM for Yeast Regulation Prediction,Kowalczyk A.
35489,2016,A Generative Block-diagonal Model for Clustering,Chen J.
35490,2002,SMOTE: Synthetic Minority Over-sampling Technique,Chawla N.V.
35491,2016,Wenjie Zhang: Shifting multihypergraphs via collaborative probabilistic voting,Wang Yang
35492,2020,"Applications of genetic programming to finance and economics: past, present, future",Brabazon A.
35493,2012,Investment opportunities forecasting: Extending the grammar of a gp-based tool,Kampouridis M.
35495,2015,Heuristic procedures for improving the predictability of a genetic programming financial forecasting algorithm,Kampouridis M.
35497,2012,Microstructure dynamics and agent-based financial markets: can dinosaurs return?,Kampouridis M.
35498,1967,On the distribution of stock price differences,Mandelbrot B.
35500,2016,Effect of segmentation on financial time series pattern matching,Wan Y.
35501,2016,"Chen, An intelligent pattern recognition model for supporting investment decisions in stock market",Chen T.-l
35502,2001,Flexible time series pattern matching based on perceptually important points,Chung F.-L.
35503,2011,Financial time series segmentation based on turning points,Yin J.
35504,2010,Modeling turning points in financial markets with soft computing techniques,Azzini A.
35505,2018,Short-term trend prediction in financial time series data,Ozorhan M.O.
35506,2011,Patterns in high-frequency FX data: discovery of 12 empirical scaling laws,Glattfelder J.
35507,2017,Profiling high-frequency equity price movements in directional changes,Tsang E.P.
35508,2017,Regression genetic programming for estimating trend end in foreign exchange market,Adegboye A.
35510,2011,Characterization of financial time series,Sewell M.
35511,2013,The impact of strategies on the stylized facts in the FX market,Aloud M.
35513,2018,Classification of normal and abnormal regimes in financial markets,Chen J.
35514,2018,A directional changes based study on stock market,Ao H.
35515,2012,The scale of market quakes,Bisig T.
35516,2019,Instantaneous volatility seasonality of high-frequency markets in directional-change intrinsic time,Petrov V.
35517,2014,"Modeling the FX market traders behavior: An agent-based approach, Banking, Finance, and Accounting: Concepts",Aloud M.
35518,2016,Backlash agent: A trading strategy based on directional change,Bakhach A.
35519,2018,Intelligent dynamic backlash agent: A trading strategy based on the directional change framework,Bakhach A.
35520,2011,Intraday high-frequency FX trading with adaptive neuro-fuzzy inference systems,Kablan A.
35521,2016,Forecasting directional changes in FX markets,Bakhach A.
35523,2017,A directional change based trading strategy with dynamic thresholds,Alkhamees N.
35524,2017,Event detection from time-series streams using directional change and dynamic thresholds,Alkhamees N.
35525,2017,Developing sustainable trading strategies using directional changes with high frequency data,Ye A.
35526,2017,Intraday value-at-risk estimation for directional change events and investment strategies,Almeida R.J.
35527,2017,Evolving trading strategies using directional changes,Kampouridis M.
35528,2017,Evolving directional changes trading strategies with a new event-based indicator,Kampouridis M.
35529,2013,Auto-weka: Combined selection and hyperparameter optimization of classification algorithms,Thornton C.
35530,2011,"The irace package, iterated race for automatic algorithm configuration",Lopez-Ibanez M.
35531,2010,F-race and iterated f-race: An overview,Birattari M.
35532,2014,Working with opencl to speed up a genetic programming financial forecasting algorithm: initial results,Brookhouse J.
35533,2012,Prediction of Stock Market Index Using Genetic Algorithm”,J K.
35534,2013,"Mohammad Bolandraftar,“Application of KNearest Neighbor [7]https://www.investopedia.com/terms/s/sharp (KNN) Approach for Predicting Economic Events: Theoretical Background”",Imandoust Sadegh Bafandeh
35535,1992,"‘Technical note: Q-learning,’",Watkins C.J.C.H.
35536,2019,‘Performance,Moody J.
35537,2016,"‘A survey on digital twin: financial data stream,’",Barricelli B.R.
35538,2019,‘An evolving recurrent,Luo C.
35539,2020,"‘A novel forecasting model for the long- interval type-2 intuitionistic fuzzy neural network for online learning term fluctuation of time series based on polar fuzzy information granules,’’ and time series prediction,’",Luo C.
35540,2010,"‘Application of neuro-fuzzy with the Faculty of Electronic Information and networks to forecast innovation performance—The example of taiwanese Electrical Engineering, Shandong Normal Univermanufacturing industry,’",Chien S.-C.
35541,2019,Politex: Regret bounds for policy iteration using expert prediction,Abbasi-Yadkori Y.
35542,2013,Adaptive market making via online learning,Abernethy J.D.
35543,2020,"What is the value of the cross-sectional approach to deep reinforcement learning?, Available at SSRN",Aboussalah A.M.
35544,2017,Constrained policy optimization,Achiam J.
35545,2010,Optimal allocation strategies for the dark pool problem,Agarwal A.
35546,2020,Model-based reinforcement learning with a generative model is minimax optimal,Agarwal A.
35547,2021,"On the theory of policy gradient methods: Optimality, approximation, and distribution shift",Agarwal A.
35549,2021,Robo-advising: Learning investors’ risk preferences via portfolio choices,Alsabah H.
35550,2017,An alternative softmax operator for reinforcement learning,Asadi K.
35552,2012,On the sample complexity of reinforcement learning with a generative model,Azar M.G.
35553,2013,Minimax PAC bounds on the sample complexity of reinforcement learning with a generative model,Azar M.G.
35555,2020,Adaptive trading strategies across liquidity pools,Baldacci B.
35556,2019,Market making and incentives design in the presence of a dark pool: A deep reinforcement learning approach,Baldacci B.
35558,2010,Dynamic mean-variance asset allocation,Basak S.
35559,2021,Logarithmic regret for episodic continuous-time linear-quadratic reinforcement learning over a finite-time horizon,Basei M.
35560,2012,Error bounds for constant step-size Q-learning,Beck C.L.
35561,2013,The Arcade Learning Environment: An evaluation platform for general agents,Bellemare M.G.
35562,1985,Bandit problems: Sequential allocation of experiments (Monographs on Statistics and Applied Probability,Berry D.A.
35563,2019,Global optimality guarantees for policy gradient methods,Bhandari J.
35564,2018,A finite time analysis of temporal difference learning with linear function approximation,Bhandari J.
35565,2010,An actor–critic algorithm with function approximation for discounted cost constrained Markov decision processes,Bhatnagar S.
35566,2010,A general theory of Markovian time inconsistent stochastic control problems,Bjork T.
35569,2002,R-max-a general polynomial time algorithm for nearoptimal reinforcement learning,Brafman R.I.
35570,2004,Anniversary article: Option pricing: Valuation models and applications,Broadie M.
35572,2019,Neural temporal-difference learning converges to global optima,Cai Q.
35574,2020,Hedging using reinforcement learning: Contextual k-armed bandit versus Q-learning,Cannelli L.
35575,2021,Deep hedging of derivatives using reinforcement learning,Cao J.
35576,2021,Personalized robo-advising: Enhancing investment through client interaction,Capponi A.
35577,2021,Equal risk pricing of derivatives with deep hedging,Carbonneau A.
35578,2015,Algorithmic and high-frequency trading,Cartea Á.
35579,2021,"Deep reinforcement learning for algorithmic trading, Available at SSRN",Cartea Á.
35580,2021,Sample complexity and overparameterization bounds for projection-free neural TD learning,Cayci S.
35581,2020,Fast global convergence of natural policy gradient methods with entropy regularization,Cen S.
35582,2011,Econophysics review: I. empirical facts,Chakraborti A.
35585,2019,Information-theoretic considerations in batch reinforcement learning,Chen J.
35586,2017,Risk-constrained reinforcement learning with percentile risk criteria,Chow Y.
35587,2015,Risk-sensitive and robust decisionmaking: A CVaR optimization approach,Chow Y.
35588,2001,Empirical properties of asset returns: stylized facts and statistical issues,Cont R.
35589,2017,Optimal order placement in limit order markets,Cont R.
35591,2019,Deep execution-value and policy based reinforcement learning for trading and beating market benchmarks,Dabérius K.
35592,2018,SBEED: Convergent reinforcement learning with nonlinear function approximation,Dai B.
35593,2018,Finite sample analyses for TD(0) with function approximation,Dalal G.
35594,2015,Sample complexity of episodic fixed-horizon reinforcement learning,Dann C.
35595,2017,Unifying PAC and regret: Uniform PAC bounds for episodic reinforcement learning,Dann C.
35597,2021,Provably efficient safe exploration via primal-dual policy optimization,Ding D.
35599,2020,Deep reinforcement learning for option replication and hedging,Du J.
35600,2016,Algorithm trading using Q-learning and recurrent reinforcement learning,Du X.
35601,2015,Monte Carlo simulation with machine learning for pricing American options and convertible bonds,Dubrov B.
35602,2019,Epistemic risk-sensitive reinforcement learning,Eriksson H.
35603,2003,Learning rates for Q-learning,Even-Dar E.
35604,2021,A selective overview of deep learning,Fan J.
35605,2020,"A theoretical analysis of deep Q-learning, in Learning for Dynamics and Control",Fan J.
35606,2008,Regularized policy iteration,Farahmand A.M.
35607,2018,Global convergence of policy gradient methods for the linear quadratic regulator,Fazel M.
35608,2020,Risk-sensitive reinforcement learning: Near-optimal risk-sample tradeoff in regret,Fei Y.
35609,2015,Agents’ Behavior on Multi-Dealer-to-Client Bond Trading Platforms,Fermanian J.-D.
35610,1989,Options arbitrage in imperfect markets,Figlewski S.
35613,2019,On overfitting and asymptotic bias in batch reinforcement learning with partial observability,François-Lavet V.
35614,2021,Single-timescale actor-critic provably finds globally optimal policy,Fu Z.
35615,2010,Censored exploration and the dark pool problem,Ganchev K.
35617,2020,State-dependent temperature control for langevin diffusions,Gao X.
35618,2019,Batched multi-armed bandits problem,Gao Z.
35619,2020,Conservative exploration in reinforcement learning,Garcelon E.
35620,2021,Market making with signals through deep reinforcement learning,Gašperov B.
35621,2019,A theory of regularized Markov decision processes,Geist M.
35622,2021,Delta hedging of derivatives using deep reinforcement learning,Giurca A.
35625,2013,Maxout networks,Goodfellow I.
35626,1996,Stable fitted reinforcement learning,Gordon G.J.
35627,2018,Soft Q-learning with mutual-information regularization,Grau-Moya J.
35629,2012,Optimal portfolio liquidation with limit orders,Guéant O.
35630,2013,Dealing with the inventory risk: A solution to the market making problem,
35631,2019,Deep reinforcement learning for market making in corporate bonds: beating the curse of dimensionality,Guéant O.
35633,2021,Reinforcement learning for linear-convex models with jumps via stability analysis of feedback controls,Guo X.
35635,2018,Soft actor-critic: Off-policy maximum entropy deep reinforcement learning with a stochastic actor,Haarnoja T.
35636,2018,Soft actor-critic algorithms and applications,Haarnoja T.
35637,1971,Multi-period mean-variance analysis: Toward a general theory of portfolio choice,Hakansson N.H.
35638,2019,"The QLBS Q-learner goes NuQlear: Fitted Q iteration, inverse RL, and option portfolios",Halperin I.
35639,2020,QLBS: Q-learner in the Black-Scholes (-Merton) worlds,
35640,2021,Policy gradient methods for the noisy linear quadratic regulator over a finite horizon,Hambly B.
35641,2010,Double Q-learning,Hasselt H.
35643,1993,"Transaction costs and duplication strategies, Graduate School of Business",Henrotte P.
35644,1993,A closed-form solution for options with stochastic volatility with applications to bond and currency options,Heston S.
35645,2003,Applications of Hilbert–Huang transform to non-stationary financial time series analysis,Huang N.E.
35646,2013,More) Efficient reinforcement learning via posterior sampling,Ian O.
35647,2021,Robust risk-aware reinforcement learning,Jaimungal S.
35649,2020,Re-) Imag (in) ing price trends,Jiang J.
35651,2018,Is Q-learning provably efficient?,Jin C.
35652,2020,Provably efficient reinforcement learning with linear function approximation,Jin C.
35653,2001,A natural policy gradient,Kakade S.M.
35654,2020,Multi-agent reinforcement learning in a realistic limit order book market simulation,Karpe M.
35655,2016,Search for information on multiple products,Ke T.T.
35656,2002,Near-optimal reinforcement learning in polynomial time,Kearns M.
35658,2007,Dynamic indifference valuation via convex risk measures,Klöppel S.
35661,2020,"Modern perspectives on reinforcement learning in finance, Modern Perspectives on Reinforcement Learning in Finance (September 6, 2019",
35662,2002,Actor-critic algorithms,Konda V.
35664,2010,Optimal portfolios of a small investor in a limit order market: A shadow price approach,Kühn C.
35665,2019,On the sample complexity of actor-critic method for reinforcement learning with function approximation,Kumar H.
35667,2018,Linear stochastic approximation: How far does constant step-size and iterate averaging go?,Lakshminarayanan C.
35668,2012,PAC bounds for discounted MDPs,Lattimore T.
35669,2020,Learning with good feature representations in bandits and in RL with a generative model,Lattimore T.
35670,2020,Learning a functional control for high-frequency finance,Leal L.
35671,2018,Market microstructure in practice,Lehalle C.-A.
35672,1985,Option pricing and replication with transactions costs,Leland H.E.
35673,2000,Optimal dynamic portfolio selection: Multiperiod mean-variance formulation,Li D.
35674,2009,A unifying framework for computational reinforcement learning theory,Li L.
35679,2020,An end-to-end optimal trade execution framework based on proximal policy optimization,Lin S.
35680,2019,Neural trust region/proximal policy optimization attains globally optimal policy,Liu B.
35681,2020,An improved analysis of (variance-reduced) policy gradient and natural policy gradient methods,Liu Y.
35682,2001,Valuing American options by simulation: A simple least-squares approach,Longstaff F.A.
35683,2009,Regularized fitted Q-iteration for planning in continuous-space Markovian decision problems,Farahmand A.
35684,2020,On the global convergence rates of softmax policy gradient methods,Mei J.
35685,2007,Q-learning with linear function approximation,Melo F.S.
35687,1973,Theory of rational option pricing,Merton R.C.
35688,1974,Fallacy of the log-normal approximation to optimal portfolio decision-making over many periods,Merton R.C.
35689,2002,Risk-sensitive reinforcement learning,Mihatsch O.
35695,1968,Optimal multiperiod portfolio policies,Mossin J.
35697,2018,Double deep Q-learning for optimal execution,Ning B.
35698,2013,Optimal trading strategy and supply/demand dynamics,Obizhaeva A.A.
35699,2009,A survey on transfer learning,Pan S.J.
35700,2018,Stochastic variancereduced policy gradient,Papini M.
35702,2018,Optimizing market making using multi-agent reinforcement learning,Patel Y.
35703,2017,Optimal mean-variance portfolio selection,Pedersen J.L.
35705,1988,The implementation shortfall: Paper versus reality,Perold A.F.
35707,2018,The cost of information,Pomatto L.
35708,2011,Price-time priority and pro rata matching in an order book model of financial markets,Preis T.
35710,2020,Dynamic batch learning in high-dimensional sparse linear contextual bandits,Ren Z.
35711,2005,Neural fitted Q iteration–first experiences with a data efficient neural reinforcement learning method,Riedmiller M.
35713,1975,"Lifetime portfolio selection by dynamic stochastic programming, Stochastic Optimization Models in Finance",Samuelson P.A.
35714,2019,Model-free reinforcement learning for financial portfolios: A brief survey,Sato Y.
35717,2020,Adaptive trust region policy optimization: Global convergence and faster rates for regularized MDPs,Shani L.
35719,2014,Risk-averse reinforcement learning for algorithmic trading,Shen Y.
35720,2014,Risk-sensitive reinforcement learning,Shen Y.
35721,2019,Hessian aided policy gradient,Shen Z.
35722,2017,Mastering chess and shogi by self-play with a general reinforcement learning algorithm,Silver D.
35724,2020,Bypassing the monster: A faster and simpler optimal algorithm for contextual bandits under realizability,Simchi-Levi D.
35727,2020,Robust Market Making via Adversarial Reinforcement Learning,Spooner T.
35728,2001,Markowitz revisited: Mean-variance models in financial portfolio analysis,Steinbach M.
35729,2009,Reinforcement learning in finite MDPs: PAC analysis,Strehl A.L.
35730,2005,A theoretical analysis of model-based interval estimation,Strehl A.L.
35731,1955,Myopia and inconsistency in dynamic utility maximization,Strotz R.H.
35735,2010,Model-based reinforcement learning with nearly tight exploration complexity bounds,Szita I.
35736,2015,Policy gradient for coherent risk measures,Tamar A.
35737,2021,Exploratory HJB equations and their convergence,Tang W.
35740,2010,Transfer learning,Torrey L.
35741,2020,Risk-sensitive reinforcement learning: A martingale approach to reward uncertainty,Vadori N.
35742,2016,Deep reinforcement learning with double Q-learning,Hasselt H.
35743,2016,On time consistency for mean-variance portfolio selection,Vigna E.
35745,2011,"Statistical learning theory: Models, concepts, and results",Luxburg U.
35746,2019,Large scale continuous-time mean-variance portfolio allocation via reinforcement learning,Wang H.
35747,2021,Robo-advising: Enhancing investment with inverse optimization and deep reinforcement learning,Wang H.
35748,2020,Exploration versus exploitation in reinforcement learning: A stochastic control approach,Wang H.
35749,2020,Continuous-time mean–variance portfolio selection: A reinforcement learning framework,Wang H.
35750,2020,Neural policy gradient methods: Global optimality and rates of convergence,Wang L.
35751,2020,Q-learning with UCB exploration is sample efficient for infinite-horizon MDP,Wang Y.
35753,2020,Model-free reinforcement learning in infinite-horizon average-reward Markov decision processes,Wei C.-Y.
35755,2020,Quant GANs: Deep generation of financial time series,Wiese M.
35757,2016,Conservative bandits,Wu Y.
35758,2020,Time-consistent strategies for multi-period mean-variance portfolio optimization with the serially correlated returns,Xiao H.
35759,2021,Non-asymptotic convergence of adam-type reinforcement learning algorithms under Markovian sampling,Xiong H.
35760,2020,Finite-time analysis for double Q-learning,Xiong H.
35762,2020,An improved convergence analysis of stochastic variance-reduced policy gradient,Xu P.
35763,2020,Sample efficient policy gradient methods with recursive variance reduction,Xu P.
35764,2020,A finite-time analysis of Q-learning with neural network function approximation,Xu P.
35765,2020,Improving sample complexity bounds for (natural) actor-critic algorithms,Xu T.
35766,2020,Non-asymptotic convergence analysis of two time-scale (natural) actor-critic algorithms,
35767,2021,Doubly robust off-policy actor-critic: Convergence and optimality,Xu T.
35768,2018,A practical machine learning approach for dynamic stock recommendation,Yang H.
35769,2019,Sample-optimal parametric Q-learning using linearly additive features,Yang L.
35770,2020,"Reinforcement learning in feature space: Matrix bandit, kernels, and regret bound",Yang L.
35771,2019,A generalized algorithm for multi-objective reinforcement learning and policy adaptation,Yang R.
35772,2020,"Optimal trade execution based on deep deterministic policy gradient, in Database Systems for Advanced Applications",Ye Z.
35774,2020,Learning risk preferences from investment portfolios using inverse optimization,Yu S.
35775,2020,Reinforcement learning for optimal market making with the presence of rebate,Zhang G.
35776,2021,Sample efficient reinforcement learning with REINFORCE,Zhang J.
35777,2020,Global convergence of policy gradient methods to (almost) locally optimal policies,Zhang K.
35779,2020,"Constrained upper confidence reinforcement learning, in Learning for Dynamics and Control",Zheng L.
35780,2020,Provable multi-objective reinforcement learning with generative models,Zhou D.
35781,2000,Continuous-time mean-variance portfolio selection: A stochastic LQ framework,Zhou X.Y.
35782,2017,Introduction to Computational Finance and Financial Econometrics,Zivot E.
35783,2019,Finite-sample analysis for SARSA with linear function approximation,Zou S.
35784,1986,Portfolio Optimization with forecasting,Haugh M.B.
35785,2010,Reinforcement Learning for Financial Port,Vogiatzis Antonios
35786,2017,A Novel DBN Model for Time Series Forecasting,Ren Y.
35787,2019,Continuous-time meanvariance portfolio selection: A reinforcement learning framework,Wang THaoran
35788,2020,Portfolio Optimization-Based Stock Prediction Using Long-Short Term Memory Network in Quantitative Trading,Ta V.-D.
35789,2019,Denser: deep evolutionary network structured representation,Assunc F.
35791,2017,A downsampled variant of imagenet as an alternative to the cifar datasets,Chrabaszcz P.
35792,2018,Dpp-net: Deviceaware progressive search for pareto-optimal neural architectures,Dong J.-D.
35793,2020,Nas-bench-102: Extending the scope of reproducible neural architecture search,Dong X.
35798,2020,Regularized evolution for macro neural architecture search,Kyriakides G.
35799,2017,Playing fps games with deep reinforcement learning,Lample G.
35800,2018,Evolutionary architecture search for deep multitask networks,Liang J.
35801,2019,Best practices for scientific research on neural architecture search,Lindauer M.
35802,1997,Forming neural networks through efficient and adaptive coevolution,Moriarty D.E.
35805,2018,Improving deep learning with generic data augmentation,Taylor L.
35807,2018,Snas: stochastic neural architecture search,Xie S.
35808,2019,Nasbench-101: Towards reproducible neural architecture search,Ying C.
35809,2018,Towards automated deep learning: Efficient joint neural architecture and hyperparameter search,Zela A.
35813,2009,15. Example of EDM and preprocessed trend of,
35814,2012,/ Expert Systems with Applications 39,Fong S.
35815,2012,17. Volatility membership definition for trend recalling,
35816,2009,The application of trend following strategies in stock market trading,Fong S.
35817,2011,Trend following algorithms for technical trading in stock market,
35818,1998,Evaluating Density Forecasts with Applications to Financial Risk Management,Diebold F.X.
35819,1989,Scoring the Leading Indicators”,Diebold F.X.
35820,1993,A Long Memory Property of Stock Market Returns and a New Model”,Ding Z.
35821,2004,"Forecasting Volatility: A Reality Check Based on Option Pricing, Utility Function, Value-at-Risk, and Predictive Likelihood”",Gonzalez-Rivera G.
35822,2007,Optimality of the RiskMetrics VaR Model”,Gonzalez-Rivera G.
35823,1969,Investigating Causal Relations by econometric Models and Cross-Spectral Methods”,Granger C.W.J.
35824,1999,Outline of Forecast Theory Using Generalized Cost Functions”,Granger C.W.J.
35825,2002,Some Comments on Risk”,Granger C.W.J.
35826,2000,Economic and Statistical Measures of Forecast Accuracy”,Granger C.W.J.
35827,1977,Nonuniqueness of Least Absolute Values Regression”,Harter H.L.
35828,2003,Inference on Predictability of Foreign Exchange Rates via Generalized Spectrum and Nonlinear Time Series Models”,Hong Y.
35829,1978,Regression Quantiles,Koenker R.
35830,1951,On Information and Sufficiency”,Kullback L.
35831,2006,Bagging Binary and Quantile Predictors for Time Series”,Lee T.-H.
35832,2007,Money-Income Granger-Causality in Quantiles” UCR,Lee T.-H.
35833,1975,Maximum Score Estimation of the Stochastic Utility Model of Choice”,Manski C.F.
35834,1982,The Linear Regression Model and the Choice of p”,Money A.H.
35835,1983,The Optimal Lp -norm Estimation in Linear Regression Models”,Nyguist H.
35836,1986,Censored Regression Quantiles”,Powell J.L.
35837,1978,Information Criteria for Discriminating among Alternative Regression Models”,Sawa T.
35838,1975,A Bayesian Approach to Real Estate Assessment”,Varian H.R.
35839,1996,Asymptotic Inference about Prediction Ability”,West K.
35840,1994,"Estimation, Inference, and Specification Analysis",White H.
35841,1986,Bayesian Estimation and Prediction Using Asymmetric Loss Functions”,Zellner A.
35842,2016,Financial Signal Processing and Machine Learning,Akansu A.N.
35843,2015,A Primer for Financial Engineering: Financial Signal Processing and Electronic Trading,Akansu A.N.
35844,2013,High-frequency trading: a practical guide to algorithmic strategies and trading systems,Aldridge I.
35846,1997,Price variations in a stock market with many agents,Bak P.
35847,1996,Reaction-diffusion front for A + B → in one dimension,Barkema G.T.
35848,2008,Designing realized kernels to measure the ex post variation of equity prices in the presence of noise,Barndorff-Nielsen O.E.
35849,2009,Realized kernels in practice: Trades and quotes,Barndorff-Nielsen O.E.
35853,2014,Fact or friction: Jumps at ultra high frequency,Christensen K.
35854,2014,Applied Multiple Regression/Correlation Analysis for the Behavioral Sciences,Cohen P.
